Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Loan_Status
Male,Yes,Graduate,No,9577.0,13262.0,493.0,240.0,1.0,768.0,Y
Female,No,Not Graduate,No,15849.0,14165.0,589.0,240.0,1.0,726.0,Y
Male,Yes,Not Graduate,No,5711.0,7928.0,671.0,360.0,1.0,654.0,N
Male,No,Not Graduate,Yes,21344.0,8594.0,125.0,120.0,1.0,625.0,Y
Male,No,Graduate,No,23214.0,8475.0,636.0,240.0,1.0,308.0,Y
Female,Yes,Not Graduate,No,7458.0,6806.0,614.0,360.0,1.0,390.0,Y
Male,No,Not Graduate,No,20003.0,14911.0,356.0,360.0,1.0,585.0,Y
Male,No,Graduate,No,24522.0,6115.0,379.0,360.0,1.0,442.0,Y
Male,Yes,Graduate,No,8680.0,8432.0,655.0,180.0,1.0,715.0,Y
Female,Yes,Graduate,No,14507.0,12454.0,132.0,240.0,1.0,360.0,N
Male,Yes,Graduate,Yes,20724.0,14063.0,393.0,180.0,1.0,593.0,N
Male,Yes,Not Graduate,No,11419.0,4656.0,397.5,240.0,1.0,639.0,Y
Male,No,Graduate,No,18239.0,10387.0,390.0,240.0,1.0,485.0,Y
Male,Yes,Not Graduate,No,20112.0,8892.0,403.0,240.0,1.0,391.0,N
Female,Yes,Graduate,No,21969.0,2670.0,142.0,360.0,1.0,530.0,Y
Male,Yes,Graduate,No,18585.0,10111.0,655.0,120.0,0.0,836.0,Y
Female,Yes,Not Graduate,No,7985.0,4360.0,698.0,240.0,1.0,438.0,Y
Female,Yes,Not Graduate,No,24559.0,2548.0,579.0,240.0,1.0,489.0,Y
Female,No,Not Graduate,No,5160.0,2326.0,182.0,240.0,1.0,652.0,Y
Male,Yes,Graduate,No,13465.0,2796.0,303.0,120.0,1.0,338.0,Y
Female,No,Graduate,No,20097.0,7046.0,237.0,180.0,1.0,372.0,Y
Male,Yes,Not Graduate,No,9872.0,2206.0,182.0,360.0,1.0,321.0,Y
