Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Loan_Status
Male,No,Graduate,No,11435,7214,477,120,1,795,Y
Female,Yes,Not Graduate,No,6998,3811,248,180,1,399,Y
Male,Yes,Not Graduate,No,2162,5141,532,120,1,702,Y
Male,Yes,Not Graduate,No,3974,8501,568,240,1,695,N
Male,Yes,Not Graduate,Yes,10461,2708,545,120,0,826,Y
Female,Yes,Graduate,Yes,19015,1991,580,180,1,714,Y
Male,No,Not Graduate,No,19289,8463,393,360,1,762,Y
Male,Yes,Graduate,Yes,4014,3273,242,240,1,840,Y
Male,No,Graduate,No,11833,4538,349,180,1,663,N
Female,No,Graduate,Yes,9896,8712,401,240,0,429,N
Male,Yes,Graduate,No,2204,9168,124,240,1,383,Y
Male,Yes,Graduate,No,18965,3722,169,180,1,570,Y
Male,No,Not Graduate,Yes,11032,3551,211,180,1,543,N
Male,Yes,Not Graduate,Yes,7347,2832,463,360,1,687,Y
Female,Yes,Not Graduate,No,4643,5679,402,240,0,513,N
Male,No,Not Graduate,No,10017,6579,570,240,1,465,Y
Female,No,Graduate,Yes,19258,152,190,180,1,358,N
Female,Yes,Not Graduate,Yes,7560,5754,629,120,1,803,N
Female,No,Graduate,No,17892,2800,291,180,1,422,N
Male,Yes,Not Graduate,Yes,16531,5310,651,240,1,712,Y
Female,Yes,Graduate,No,19073,9944,341,180,0,438,Y
Male,Yes,Graduate,No,6000,2610,237,360,1,528,Y
Female,No,Not Graduate,No,16289,1104,444,120,0,573,Y
Female,No,Graduate,No,19055,7361,279,180,1,738,Y
Female,No,Graduate,Yes,9927,4199,602,360,1,417,Y
Female,No,Not Graduate,Yes,17562,3854,302,240,1,782,N
Female,No,Graduate,Yes,3171,7263,672,180,1,694,N
Female,Yes,Not Graduate,Yes,13918,1914,291,240,0,759,Y
Female,Yes,Not Graduate,Yes,11135,7365,104,360,1,377,Y
Female,Yes,Not Graduate,Yes,8342,3072,336,240,1,711,N
Male,Yes,Graduate,Yes,19833,9198,410,360,1,374,Y
Male,No,Graduate,No,13929,406,648,360,1,594,N
Female,Yes,Graduate,Yes,4539,166,155,360,1,320,Y
Female,No,Not Graduate,Yes,5959,508,542,180,1,470,Y
Female,Yes,Graduate,No,15183,1661,336,240,1,314,Y
Male,No,Not Graduate,Yes,7432,3664,296,240,1,510,Y
Female,No,Not Graduate,Yes,3753,3489,684,120,1,385,N
Male,Yes,Graduate,No,12123,680,670,120,1,448,N
Male,Yes,Not Graduate,Yes,18376,2524,613,120,1,671,Y
Male,Yes,Graduate,Yes,8588,2120,548,120,1,779,N
Male,Yes,Graduate,Yes,8304,5260,459,240,0,450,Y
Male,No,Graduate,No,9345,4357,129,360,1,440,N
Female,Yes,Graduate,Yes,17352,1363,207,360,1,368,N
Female,Yes,Graduate,Yes,2597,9523,544,180,1,559,Y
Female,No,Not Graduate,No,4336,2292,537,360,1,820,Y
Female,Yes,Not Graduate,Yes,11879,1538,556,240,1,670,Y
Female,Yes,Not Graduate,No,2572,3408,594,240,1,718,N
Male,Yes,Graduate,No,9521,7742,346,240,1,400,N
Female,Yes,Graduate,Yes,8171,8752,642,180,1,542,N
Female,Yes,Graduate,No,15992,9291,663,120,1,811,N
Male,No,Not Graduate,No,13861,1903,687,360,0,394,Y
Female,Yes,Graduate,Yes,14464,174,538,240,0,525,Y
